PruebaID;Codigo;Area;Nombre;TipoMuestra;Ayuno;HorasAyuno;Origen;Aplicar
445;COA011;COA;ANTICOAGULANTE LUPICO;SANGRE;No;0;area;OK
488;COA001;COA;CONTROL (INR);SANGRE;No;0;area;OK
489;COA002;COA;CONTROL (PT);SANGRE;No;0;area;OK
490;COA003;COA;CONTROL (PTT);SANGRE;No;0;area;OK
231;232;COA;DIMERO D;SANGRE;No;0;area;OK
124;125;COA;FACTOR XIII UREA 5 MOLAR;SANGRE;No;0;area;OK
121;122;COA;FIBRINOGENO;SANGRE;No;0;area;OK
491;COA004;COA;I.S.I.;SANGRE;No;0;area;OK
286;287;COA;INR;SANGRE;No;0;area;OK
492;COA005;COA;PACIENTE (PTT);SANGRE;No;0;area;OK
329;COAG001;COA;PERFIL DE COAGULACION;SANGRE;No;0;ya asignado;
493;COA006;COA;RAZON (INR);SANGRE;No;0;area;OK
494;COA007;COA;RAZON (PT);SANGRE;No;0;area;OK
495;COA008;COA;TIEMPO DE RETRACCION DEL COAGULO;SANGRE;No;0;area;OK
122;123;COA;TIEMPO DE RETRACCION DEL CUAGULO;SANGRE;No;0;area;OK
123;124;COA;TIEMPO DE SANGRIA  ( DUKE);SANGRE;No;0;area;OK
659;COA010;COA;TIEMPO DE SANGRIA Y COAGULACION;SANGRE;No;0;area;OK
496;COA009;COA;TIEMPO DE SANGRÍA Y COAGULACIÓN;SANGRE;No;0;area;OK
119;120;COA;TP;SANGRE;No;0;area;OK
330;COAG002;COA;TP + INR;SANGRE;No;0;ya asignado;
125;126;COA;TP CORREGIDO;SANGRE;No;0;area;OK
7;8;COA;TP INR;SANGRE;No;0;area;OK
120;121;COA;TPT;SANGRE;No;0;area;OK
126;127;COA;TPT CORREGIDO;SANGRE;No;0;area;OK
259;260;GEN;ALCOHOL ETILICO ( ALCOHOLEMIA);SANGRE;No;0;area;OK
277;278;GEN;ANALISIS INTEGRAL DE CALCULOS;SANGRE;No;0;area;OK
653;GEN008;GEN;BB (BUFFER BASE) - GASES ARTERIALES;SANGRE;No;0;area;OK
230;231;GEN;BENZODIACEPINAS;SANGRE;No;0;area;OK
649;GEN007;GEN;CARBAMACEPINA (TEGRETOL);SANGRE;No;0;area;OK
229;230;GEN;CARBAMAZEPINA;SANGRE;No;0;area;OK
236;237;GEN;CLONAZEPAN;SANGRE;No;0;area;OK
583;GEN001;GEN;CO2 Total;SANGRE;No;0;area;OK
258;259;GEN;COCAINA;SANGRE;No;0;area;OK
233;234;GEN;DIFENILHIDANTOINA;SANGRE;No;0;area;OK
232;233;GEN;DIGOXINA;SANGRE;No;0;area;OK
656;GEN011;GEN;EB (EXCESO DE BASE) - GASES VENOSOS;SANGRE;No;0;area;OK
155;156;GEN;ELISA;SANGRE;No;0;area;OK
219;220;GEN;EOSINOFILOS EN EXUDADO FARINGEO;EXUDADO;No;0;nombre;OK
26;27;GEN;ESPERMOGRAMA;SEMEN;No;0;nombre;OK
660;GEN012;GEN;EXCESO DE BASE (BE) ECF;SANGRE;No;0;area;OK
654;GEN009;GEN;EXCESO DE BASE (BE) ECF - GASES ARTERIALES;SANGRE;No;0;area;OK
234;235;GEN;FENITOINA;SANGRE;No;0;area;OK
35;36;GEN;GASES VENOSOS;SANGRE;No;0;area;OK
584;GEN002;GEN;HCO3 actual;SANGRE;No;0;area;OK
14;15;GEN;LIQUIDO  ORGANICO CITOQUIMICO;SANGRE;No;0;area;OK
45;46;GEN;LIQUIDO AMNIOTICO (CITOQUIMICO);SANGRE;No;0;area;OK
70;71;GEN;LIQUIDO ORGANICO CITOQUIMICO;SANGRE;No;0;area;OK
48;49;GEN;LIQUIDO PERITONEAL CITOQUIMICO;SANGRE;No;0;area;OK
29;30;GEN;LIQUIDO PLEURAL CITOQUIMICO;SANGRE;No;0;area;OK
46;47;GEN;LIQUIDO SINOVIAL (CITIQUIMICO );SANGRE;No;0;area;OK
257;258;GEN;MARIHUANA;SANGRE;No;0;area;OK
586;GEN004;GEN;pCO2;SANGRE;No;0;area;OK
587;GEN005;GEN;pO2;SANGRE;No;0;area;OK
588;GEN006;GEN;SatO2;SANGRE;No;0;area;OK
661;GEN013;GEN;SATURACION DE O2;SANGRE;No;0;area;OK
585;GEN003;GEN;Saturación de O2;SANGRE;No;0;area;OK
655;GEN010;GEN;SATURACION DE O2 - GASES ARTERIALES;SANGRE;No;0;area;OK
235;236;GEN;TEOFILINA;SANGRE;No;0;area;OK
589;HEM002;HEM;2DA HORA;SANGRE;No;0;area;OK
591;HEM004;HEM;CELULAS INMADURAS;SANGRE;No;0;area;OK
592;HEM005;HEM;CELULAS MEDIA;SANGRE;No;0;area;OK
453;HEM011;HEM;CONTAJE ABSOLUTO DE EOSINOFILOS;SANGRE;No;0;area;OK
458;HEM012;HEM;DESCRIPCION DE PLAQUETAS;SANGRE;No;0;area;OK
593;HEM006;HEM;DIFERENCIA (PTT);SANGRE;No;0;area;OK
82;83;HEM;DONANTES;SANGRE;No;0;area;OK
461;HEM013;HEM;DREPANOCITOS;SANGRE;No;0;area;OK
228;229;HEM;FENOBARBITAL;SANGRE;No;0;area;OK
18;19;HEM;FROTIS DE SANGRE PERIFERICA;SANGRE;No;0;nombre;OK
12;13;HEM;GRUPO SANGUINEO  Y  FACTOR Rh;SANGRE;No;0;area;OK
209;210;HEM;HEMATOCRITO;SANGRE;No;0;area;OK
365;HEM001;HEM;Hematologia Completa;SANGRE;No;0;ya asignado;
208;209;HEM;HEMOGLOBINA;SANGRE;No;0;nombre;OK
595;HEM008;HEM;LINFOCITOS REACTIVOS;SANGRE;No;0;area;OK
596;HEM009;HEM;MPV;SANGRE;No;0;area;OK
210;211;HEM;PLAQUETAS.;SANGRE;No;0;area;OK
597;HEM010;HEM;RDW;SANGRE;No;0;area;OK
590;HEM003;HEM;RETICULOCITOS;SANGRE;No;0;area;OK
309;HEMA004;HEM;VSG;SANGRE;No;0;ya asignado;
275;276;HOR;17 0H-PROGESTERONA;SANGRE;No;0;area;OK
425;HORM006;HOR;17 HIDROXIPROGESTERONA (17 OH);SANGRE;No;0;area;OK
427;HORM007;HOR;ADRENALINA;SANGRE;No;0;area;OK
428;HORM008;HOR;ADRENOCORTICOTROPICA (ACTH);SANGRE;No;0;area;OK
429;HORM009;HOR;ANDROSTENEDIONA;SANGRE;No;0;area;OK
287;288;HOR;ANTI - MICROSOMALES;SANGRE;No;0;area;OK
434;HORM010;HOR;ANTI TIROGLOBULINA (ANTI TG);SANGRE;No;0;area;OK
519;SER028;HOR;ANTICUERPOS ANTI-PEROXIDASA (TPO);SANGRE;No;0;area;OK
447;HORM011;HOR;ANTICUERPOS ANTI-RECEPTOR DE TSH;SANGRE;No;0;area;OK
188;189;HOR;ANTIMICROSOMAL TIROIDEO;SANGRE;No;0;area;OK
167;168;HOR;ANTI-PEROXIDASA TIROIDEA ( ANTI-TPO);SANGRE;No;0;area;OK
168;169;HOR;ANTI-TIROGLOBULINA;SANGRE;No;0;area;OK
336;HORM005;HOR;BETA HCG;SANGRE;No;0;ya asignado;
