PruebaID;CodigoAnterior;CodigoNuevo;Area;Nombre
426;TIR002;QUI027;QUI;25 OH VITAMINA D
430;TIR006;QUI028;QUI;ANION GAP
448;TIR024;QUI029;QUI;APO A
449;TIR025;QUI030;QUI;APO B1
450;TIR026;QUI031;QUI;B2 MICROGLOBULINA TOTAL
451;TIR027;QUI032;QUI;CA 72-4
464;TIR040;QUI033;QUI;FOLATO
646;TIR064;QUI034;QUI;NT-PROBNP
474;TIR050;QUI035;QUI;PRO BNP
487;TIR063;QUI036;QUI;PROCALCITONINA
475;TIR051;QUI037;QUI;PROTEINA C REACTIVA ULTRASENSIBLE
486;TIR062;QUI038;QUI;VITAMINA B12
445;TIR021;COA011;COA;ANTICOAGULANTE LUPICO
483;TIR059;URO044;URO;UROGEN
476;TIR052;PAR001;PAR;Plasmodium falciparum
477;TIR053;PAR002;PAR;Plasmodium vivax
481;TIR057;PAR003;PAR;TEST DETECCION AG.PALUDISMO/MALARIA
425;TIR001;HORM006;HOR;17 HIDROXIPROGESTERONA (17 OH)
427;TIR003;HORM007;HOR;ADRENALINA
428;TIR004;HORM008;HOR;ADRENOCORTICOTROPICA (ACTH)
429;TIR005;HORM009;HOR;ANDROSTENEDIONA
434;TIR010;HORM010;HOR;ANTI TIROGLOBULINA (ANTI TG)
447;TIR023;HORM011;HOR;ANTICUERPOS ANTI-RECEPTOR DE TSH
457;TIR033;HORM012;HOR;DEHIDROEPIANDROSTENEDIONA (DHEA)
650;TIR065;HORM013;HOR;DHEAS - SULFATO DE DEHIDROEPIANDROSTERONA
459;TIR035;HORM014;HOR;DIHIDROTESTOSTERONA (DHT)
460;TIR036;HORM015;HOR;DOPAMINA
462;TIR038;HORM016;HOR;ESTRIOL LIBRE
463;TIR039;HORM017;HOR;ESTROGENOS TOTALES
465;TIR041;HORM018;HOR;HORMONA ANTIMULLERIANA
466;TIR042;HORM019;HOR;HORMONA DE CRECIMIENTO BASAL
467;TIR043;HORM020;HOR;HORMONA DE CRECIMIENTO POST EJERCICIO
468;TIR044;HORM021;HOR;HORMONA LUTEINIZANTE (LH)
469;TIR045;HORM022;HOR;HORMONA PARATORMONA (PTH)
470;TIR046;HORM023;HOR;HORMONA TRANSPORTADORA DE CARGA SEXUAL
473;TIR049;HORM024;HOR;PEPTIDO C
479;TIR055;HORM025;HOR;SHBG(GLOBULINA TRANSPORTADORA DE HORMONAS SEXUALES)
480;TIR056;HORM026;HOR;SOMATOMEDINA C (IGF-1)
482;TIR058;HORM027;HOR;TESTOSTERONA  TOTAL
452;TIR028;SER096;INF;CHAGATEST
471;TIR047;SER097;INF;HTLV I
472;TIR048;SER098;INF;HTLV II
484;TIR060;SER099;INF;VIRUS RESPIRATORIO SYNCYTIAL
485;TIR061;SER100;INF;VIRUS SINCITIAL RESPIRATORIO Ag
431;TIR007;SER101;INM;ANTI PEPTIDO CITRULINADO (ANTI CCP)
432;TIR008;SER102;INM;ANTI RO-52
433;TIR009;SER103;INM;ANTI RO-60
435;TIR011;SER104;INM;ANTI-ACTINA
436;TIR012;SER105;INM;ANTI-AG CITOSOLICO HEPATICO
437;TIR013;SER106;INM;ANTI-AG. SOLUBLE HEPATICO/AG DE HIGADO Y PANCREAS
446;TIR022;SER107;INM;ANTICUERPOS ANTI-INSULINA
438;TIR014;SER108;INM;ANTI-DESMINA
439;TIR015;SER109;INM;ANTI-GLIADINA DEAMINADA IgA GLIADINA 2DA. GENERACION
440;TIR016;SER110;INM;ANTI-GLIADINA IgA
441;TIR017;SER111;INM;ANTI-GP200
442;TIR018;SER112;INM;ANTI-MICROSOMA DE HIGADO Y RIÑON
443;TIR019;SER113;INM;ANTI-MIOSINA
444;TIR020;SER114;INM;ANTI-SP100
